signal_id,timestamp,symbol,direction,entry_price,entry_atr,entry_atr_percent,entry_rsi,entry_adx,entry_volume_ratio,entry_hurst,entry_sma_distance_percent,entry_regime,entry_hour,entry_day_of_week,entry_rsi_slope,entry_macd_hist,entry_price_momentum,entry_atr_expansion,entry_bb_position,entry_volume_trend,entry_candle_strength,is_london_session,is_nyc_session,is_asia_session,stop_loss,tp1,tp2,tp3,exit_price,exit_reason,tp1_hit,tp2_hit,tp3_hit,sl_hit,realized_r,duration_minutes,max_drawdown_r,max_profit_r,outcome,source,sample_weight
LINKUSDT_6117,2025-12-15 14:30:00,LINKUSDT,SHORT,13.51,0.0864285714285715,0.6397377603891302,38.59649122807007,26.567111127351957,2.9766459878448277,0.4861139251108791,-0.7110441508809974,WEAK_TRENDING,14,0,-0.08557980316645768,-0.013810437443515487,-0.2952029520295274,1.3656884875846471,0.0,475.363238697214,-0.31250000000000416,1,1,0,13.682857142857143,13.250714285714285,13.077857142857143,12.818571428571428,12.818571428571428,TP3_FULL,True,True,True,False,2.3,60,0.17355371900826064,4.5123966942148686,1,backtest,0.3
ETHUSDT_305,2025-10-16 01:30:00,ETHUSDT,LONG,3999.09,18.288571428571522,0.4573183256333696,61.896663427275584,46.444207409425985,0.8724819289638047,0.482755921602062,0.4830502741267398,VOLATILE,1,3,-0.11615826036407242,4.552750212110124,0.11941957579764129,0.7318774296821432,0.8894829670850147,7.727863812553659,0.32110091743120384,0,0,1,3962.5128571428572,4053.9557142857147,4090.5328571428577,4145.398571428573,3962.5128571428572,STOP_LOSS,False,False,False,True,-1.0,480,1.5747539446961432,1.3582252773004104,0,backtest,0.3
ETHUSDT_400,2025-10-17 01:15:00,ETHUSDT,LONG,3929.77,16.724999999999973,0.4255974268214164,69.02205576362887,38.839199902057814,1.1151752056078212,0.4604673933664232,0.9146665197797271,VOLATILE,1,4,-0.8639118286407126,9.550998077296741,0.6691173645178239,0.7598535136126212,0.8957773935108451,63.00020648240054,-0.31417863835104776,0,0,1,3896.32,3979.9449999999997,4013.395,4063.5699999999997,3896.32,STOP_LOSS,False,False,False,True,-1.0,270,1.0929745889387146,0.17339312406577553,0,backtest,0.3
ETHUSDT_457,2025-10-17 15:30:00,ETHUSDT,LONG,3770.98,37.51714285714291,0.9948910590123233,45.48226790151347,28.064019994360894,0.9112171724366201,0.5336994237964067,0.04674046136754392,WEAK_TRENDING,15,4,-2.216297218157706,2.3194296965492143,0.367029615217751,1.0665453729527894,0.509167037207937,7.189527170928445,0.020747950819670753,1,1,0,3695.945714285714,3883.531428571429,3958.5657142857144,4071.1171428571433,3854.89,TIMEOUT,True,False,False,False,1.3091443911354792,1500,0.0066636204401797185,2.0875790114995003,1,backtest,0.3
ETHUSDT_831,2025-10-21 13:00:00,ETHUSDT,LONG,3881.71,17.688571428571517,0.45569018367089553,56.353016482637194,33.517460291738175,2.5932805427375043,0.49039158957333956,0.03176799967066225,VOLATILE,13,1,0.25154456451655277,3.1254890377778812,-0.2149061585010048,1.2137609237993008,0.5582401339966182,243.9370174271171,0.027479892761399453,1,1,0,3846.332857142857,3934.7757142857145,3970.1528571428576,4023.218571428572,4023.218571428572,TP3_FULL,True,True,True,False,2.3,105,0.8392424487158752,4.0353739298982125,1,backtest,0.3
ETHUSDT_1077,2025-10-24 02:30:00,ETHUSDT,LONG,3888.45,11.947142857142808,0.3072469199074903,69.41798941798923,40.76410520632232,1.3339640602130443,0.5499346867406155,0.633838288258113,VOLATILE,2,4,-0.6080436620310621,3.662957066324436,0.6950468845895896,0.905466307569458,0.963906145179195,33.30566403798099,0.9589977220956736,0,0,1,3864.555714285714,3924.2914285714282,3948.185714285714,3984.0271428571423,3984.0271428571423,TP3_FULL,True,True,True,False,2.3,195,0.40888437163697333,4.193471242377166,1,backtest,0.3
ETHUSDT_1121,2025-10-24 13:30:00,ETHUSDT,SHORT,3936.56,20.222142857142867,0.5137008671820794,38.63486842105267,25.23567560193513,2.5596997822765912,0.5073390215941688,-0.51836307249401,WEAK_TRENDING,13,4,-2.7321609311741,-2.2421531149915506,-0.50875858356354,1.3458868943485167,0.0,186.61588215786082,-0.7825520833333363,1,1,0,3977.0042857142857,3875.8935714285712,3835.4492857142855,3774.782857142857,3937.52,TIMEOUT,True,False,False,False,0.7381318215534594,1500,0.5400021193175831,1.7327540531948686,1,backtest,0.3
ETHUSDT_1393,2025-10-27 09:30:00,ETHUSDT,SHORT,4170.84,19.50642857142871,0.4676858515653612,31.186252086295553,44.082737614624946,0.829812679124866,0.5190859298576153,-0.6834022704511791,VOLATILE,9,0,-0.667724262514426,-8.515880901576823,0.2439499217677943,1.1277231422961245,0.1980890101900978,-53.931396250971694,0.6504723346828559,1,0,1,4209.852857142858,4112.320714285714,4073.3078571428564,4014.7885714285703,4209.852857142858,STOP_LOSS,False,False,False,True,-1.0,420,1.2003735032406795,1.181405397488003,0,backtest,0.3
ETHUSDT_1488,2025-10-28 09:15:00,ETHUSDT,LONG,4105.6,13.546428571428448,0.32995003340384954,65.78903376797079,27.132878262285253,0.8434110515429922,0.5454690580638125,-0.09424566118330971,WEAK_TRENDING,9,1,2.001215473174456,2.147620524403659,-0.13184075971414133,0.9436708372621817,0.4981742822654929,27.079872832420946,-0.7612612612612584,1,0,1,4078.5071428571437,4146.239285714286,4173.332142857143,4213.971428571428,4078.5071428571437,STOP_LOSS,True,True,False,True,1.3,330,1.2427629844450612,2.5885051410492954,1,backtest,0.3
ETHUSDT_2263,2025-11-05 11:00:00,ETHUSDT,SHORT,3294.89,19.767142857142876,0.5999333166552715,33.06942752740551,32.1583864450706,0.9659616786033892,0.587337938043068,-0.3365455327087337,TRENDING,11,2,-1.6718009029489622,-3.6409801154040142,-0.37733909420476497,1.0144112078619225,0.2794219770389272,70.42447935139865,0.6590649942987353,1,0,0,3334.424285714286,3235.5885714285714,3196.0542857142855,3136.752857142857,3334.424285714286,STOP_LOSS,False,False,False,True,-1.0,75,1.6132832261328358,0.0,0,backtest,0.3
